id,area,population,unemployee,crime
46217,鹿児島県 曽於市,42287,1267,152
46218,鹿児島県 霧島市,127309,3908,1464
46219,鹿児島県 いちき串木野市,32993,1079,215
46220,鹿児島県 南さつま市,41677,1012,200
46221,鹿児島県 志布志市,34770,900,297
46222,鹿児島県 奄美市,49617,2580,348
46223,鹿児島県 南九州市,42191,975,170
46224,鹿児島県 伊佐市,31499,930,199
46225,鹿児島県 姶良市,74840,2399,694
46303,鹿児島県 三島村,462,1,0
46304,鹿児島県 十島村,673,8,0
46392,鹿児島県 さつま町,25688,574,121
46404,鹿児島県 長島町,11958,284,26
46452,鹿児島県 湧水町,12566,360,67
46468,鹿児島県 大崎町,15303,440,78
46482,鹿児島県 東串良町,7122,186,34
46490,鹿児島県 錦江町,10015,247,36
46491,鹿児島県 南大隅町,9897,265,19
46492,鹿児島県 肝付町,18307,620,127
46501,鹿児島県 中種子町,9194,233,66
46502,鹿児島県 南種子町,6751,172,38
46505,鹿児島県 屋久島町,13761,418,79
46523,鹿児島県 大和村,2013,99,8
46524,鹿児島県 宇検村,2048,46,5
46525,鹿児島県 瀬戸内町,10782,484,66
46527,鹿児島県 龍郷町,6002,203,36
46529,鹿児島県 喜界町,8572,159,29
46530,鹿児島県 徳之島町,12892,463,89
46531,鹿児島県 天城町,7020,246,36
46532,鹿児島県 伊仙町,7255,334,43
46533,鹿児島県 和泊町,7436,129,39
46534,鹿児島県 知名町,7115,190,38
46535,鹿児島県 与論町,5731,94,29
47201,沖縄県 那覇市,312393,17053,5722
47205,沖縄県 宜野湾市,89769,5115,1251
47207,沖縄県 石垣市,45183,1612,720
47208,沖縄県 浦添市,106049,6133,1336
47209,沖縄県 名護市,59463,3423,786
47210,沖縄県 糸満市,55816,3111,748
47211,沖縄県 沖縄市,126400,7683,2023
47212,沖縄県 豊見城市,52516,2891,570
47213,沖縄県 うるま市,113535,7447,1277
47214,沖縄県 宮古島市,53493,2593,645
47215,沖縄県 南城市,39651,2146,283
47301,沖縄県 国頭村,5546,286,65
47302,沖縄県 大宜味村,3371,198,22
47303,沖縄県 東村,1825,133,23
47306,沖縄県 今帰仁村,9476,584,85
47308,沖縄県 本部町,14383,1108,173
47311,沖縄県 恩納村,9635,392,188
47313,沖縄県 宜野座村,5042,180,50
47314,沖縄県 金武町,10619,591,111
47315,沖縄県 伊江村,5110,350,14
47324,沖縄県 読谷村,37306,2116,414
47325,沖縄県 嘉手納町,13629,1034,169
47326,沖縄県 北谷町,26848,1344,711
47327,沖縄県 北中城村,15790,1000,139
47328,沖縄県 中城村,15798,985,186
47329,沖縄県 西原町,33733,1527,464
47348,沖縄県 与那原町,15343,811,188
47350,沖縄県 南風原町,33537,1424,448
47353,沖縄県 渡嘉敷村,790,19,2
47354,沖縄県 座間味村,1077,21,1
47355,沖縄県 粟国村,936,49,7
47356,沖縄県 渡名喜村,531,21,1
47357,沖縄県 南大東村,1448,34,7
47358,沖縄県 北大東村,588,8,0
47359,沖縄県 伊平屋村,1547,69,3
47360,沖縄県 伊是名村,1762,71,10
47361,沖縄県 久米島町,9177,530,58
47362,沖縄県 八重瀬町,25121,1145,245
47375,沖縄県 多良間村,1370,32,11
47381,沖縄県 竹富町,4192,72,55
47382,沖縄県 与那国町,1796,31,18
